orthogroup	kept	collapsed
ORTHOMCL0	cladeA_56203.p1	cladeA_26401.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_4561.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_20051.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_20050.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52912.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_9777.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_3882.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_25985.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26400.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26356.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11669.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11670.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_14240.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_32291.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_9184.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_6198.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11214.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_41899.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_33733.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26995.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26996.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_39949.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_39961.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26992.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24796.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26994.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26991.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_26989.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_11139.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52053.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_40055.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27198.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27194.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27204.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_43550.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_25987.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_56471.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_28177.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_22700.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_23603.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_22698.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_22704.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_14241.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_40208.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_48665.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_38933.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_48223.p2
ORTHOMCL0	cladeA_56203.p1	cladeA_48060.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_48512.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_51280.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24893.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_55894.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24895.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_46760.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_15083.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_41529.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52086.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_39788.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_56676.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49892.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_18919.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_46419.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_40949.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_34715.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_39750.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24797.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_22703.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_44996.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_32816.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_32467.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_32066.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_23667.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_37722.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_48797.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49314.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_57158.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_36929.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_47941.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_42108.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_53294.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_32292.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_33973.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_47728.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_406.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_55740.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_8191.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_23665.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_23666.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_27201.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_13963.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_798.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49333.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_54990.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_36901.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_3683.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_57651.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_51958.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_44807.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_56717.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_51466.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_29764.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_29761.p2
ORTHOMCL0	cladeA_56203.p1	cladeA_29762.p3
ORTHOMCL0	cladeA_56203.p1	cladeA_58026.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_36933.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_46885.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_14099.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49761.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_34466.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_47919.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52968.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_37822.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_44515.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_36928.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_37578.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_8708.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49093.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_51104.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_54593.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_38730.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_52814.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_24003.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_34976.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_46469.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_49707.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_58350.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_45769.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_43600.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_42172.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_37117.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_1031.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_724.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_20508.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_20509.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_38902.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_53506.p1
ORTHOMCL0	cladeA_56203.p1	cladeA_38456.p1
ORTHOMCL0	cladeA_2934.p1	cladeA_18125.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_32752.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_32576.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_7143.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_34718.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_33931.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_34987.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_52386.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_43630.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_22116.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_45411.p1
ORTHOMCL0	cladeA_46786.p1	cladeA_1540.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_35404.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_47401.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_34178.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_29777.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_40438.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_41331.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_32301.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_55080.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_34314.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_56753.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_33446.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_42187.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_38410.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_12902.p1
ORTHOMCL0	cladeA_46859.p1	cladeA_28997.p1
ORTHOMCL0	cladeA_46957.p1	cladeA_33903.p1
ORTHOMCL0	cladeA_46957.p1	cladeA_50681.p1
ORTHOMCL0	cladeA_35761.p1	cladeA_42879.p1
ORTHOMCL1006	cladeA_1667.p1	cladeA_9826.p1
ORTHOMCL100	cladeA_28469.p1	cladeA_28470.p1
ORTHOMCL100	cladeA_28469.p1	cladeA_28466.p1
ORTHOMCL100	cladeA_28469.p1	cladeA_28468.p1
ORTHOMCL100	cladeA_48001.p1	cladeA_54554.p1
ORTHOMCL100	cladeA_48001.p1	cladeA_53455.p1
ORTHOMCL100	cladeA_50411.p1	cladeA_6602.p1
ORTHOMCL100	cladeA_50411.p1	cladeA_41818.p1
ORTHOMCL1010	cladeA_9076.p1	cladeA_32550.p1
ORTHOMCL1013	cladeA_57835.p1	cladeA_56946.p1
ORTHOMCL1016	cladeA_12533.p1	cladeA_49649.p1
ORTHOMCL101	cladeA_28476.p1	cladeA_28478.p1
ORTHOMCL1027	cladeA_14035.p1	cladeA_9302.p1
ORTHOMCL102	cladeA_29755.p1	cladeA_29751.p1
ORTHOMCL102	cladeA_29755.p1	cladeA_29748.p1
ORTHOMCL102	cladeA_29755.p1	cladeA_29752.p1
ORTHOMCL102	cladeA_29755.p1	cladeA_29749.p1
ORTHOMCL1030	cladeA_8852.p1	cladeA_54256.p1
ORTHOMCL1041	cladeB_28668.p1	cladeB_27128.p1
ORTHOMCL1049	cladeB_27499.p1	cladeB_37705.p1
ORTHOMCL1059	cladeB_11589.p1	cladeB_15282.p1
ORTHOMCL1063	cladeA_38735.p1	cladeA_53023.p1
ORTHOMCL1069	cladeB_22890.p1	cladeB_5378.p1
ORTHOMCL106	cladeA_30109.p1	cladeA_32330.p1
ORTHOMCL106	cladeA_30109.p1	cladeA_30116.p1
ORTHOMCL1070	cladeA_56438.p1	cladeA_31411.p1
ORTHOMCL1077	cladeA_56999.p1	cladeA_2200.p1
ORTHOMCL107	cladeA_25799.p1	cladeA_7368.p1
ORTHOMCL107	cladeA_25799.p1	cladeA_19576.p1
ORTHOMCL107	cladeA_25799.p1	cladeA_25797.p1
ORTHOMCL107	cladeA_25799.p1	cladeA_25798.p1
ORTHOMCL1081	cladeA_9534.p1	cladeA_9535.p1
ORTHOMCL1083	cladeB_31278.p1	cladeB_27655.p1
ORTHOMCL1089	cladeA_14086.p1	cladeA_31899.p1
ORTHOMCL108	cladeA_24989.p1	cladeA_24990.p1
ORTHOMCL108	cladeD_5676.p1	cladeD_6601.p1
ORTHOMCL1092	cladeA_26662.p1	cladeA_26661.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_30872.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_38975.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_26001.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_26589.p2
ORTHOMCL10	cladeA_26003.p1	cladeA_30750.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27577.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_25296.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_11714.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27895.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27893.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_28121.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_28123.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_37839.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27578.p2
ORTHOMCL10	cladeA_26003.p1	cladeA_27579.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27576.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_50120.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_27932.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_21388.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_28119.p1
ORTHOMCL10	cladeA_26003.p1	cladeA_28120.p1
ORTHOMCL10	cladeA_43025.p1	cladeA_22842.p3
ORTHOMCL10	cladeA_43025.p1	cladeA_18373.p1
ORTHOMCL10	cladeA_27258.p1	cladeA_28951.p1
ORTHOMCL10	cladeA_27258.p1	cladeA_27217.p1
ORTHOMCL10	cladeA_27258.p1	cladeA_28363.p1
ORTHOMCL10	cladeA_27258.p1	cladeA_26588.p1
ORTHOMCL1103	cladeA_52315.p1	cladeA_42409.p1
ORTHOMCL1106	cladeA_5681.p1	cladeA_5682.p2
ORTHOMCL1109	cladeA_3903.p1	cladeA_47793.p1
ORTHOMCL110	cladeA_37784.p2	cladeA_20094.p1
ORTHOMCL110	cladeA_37784.p2	cladeA_20095.p1
ORTHOMCL110	cladeA_26245.p1	cladeA_26244.p1
ORTHOMCL110	cladeA_26245.p1	cladeA_26246.p1
ORTHOMCL110	cladeA_26245.p1	cladeA_58571.p1
ORTHOMCL110	cladeA_26245.p1	cladeA_12961.p1
ORTHOMCL1112	cladeA_57039.p1	cladeA_49854.p1
ORTHOMCL1117	cladeA_28001.p1	cladeA_28002.p1
ORTHOMCL1119	cladeB_25671.p1	cladeB_15604.p1
ORTHOMCL1124	cladeA_36918.p1	cladeA_15598.p1
ORTHOMCL1126	cladeA_30685.p1	cladeA_30679.p1
ORTHOMCL112	cladeA_30396.p1	cladeA_30392.p1
ORTHOMCL112	cladeA_30388.p1	cladeA_30399.p1
ORTHOMCL112	cladeA_30388.p1	cladeA_30387.p1
ORTHOMCL113	cladeA_29207.p1	cladeA_28225.p1
ORTHOMCL113	cladeA_29207.p1	cladeA_28228.p1
ORTHOMCL113	cladeA_29207.p1	cladeA_29206.p1
ORTHOMCL113	cladeA_28312.p2	cladeA_28311.p1
ORTHOMCL1146	cladeA_46396.p1	cladeA_3560.p1
ORTHOMCL114	cladeA_28448.p1	cladeA_28447.p1
ORTHOMCL114	cladeA_27502.p1	cladeA_27503.p1
ORTHOMCL1162	cladeA_25946.p1	cladeA_25943.p1
ORTHOMCL1163	cladeB_17529.p1	cladeB_30242.p1
ORTHOMCL1166	cladeA_35097.p1	cladeA_8252.p1
ORTHOMCL1168	cladeA_9035.p1	cladeA_51943.p1
ORTHOMCL117	cladeA_30400.p2	cladeA_30414.p1
ORTHOMCL117	cladeA_30400.p2	cladeA_30406.p3
ORTHOMCL117	cladeA_30400.p2	cladeA_30408.p2
ORTHOMCL117	cladeA_30400.p2	cladeA_30412.p3
ORTHOMCL1181	cladeD_18256.p1	cladeD_20707.p1
ORTHOMCL1187	cladeA_6227.p1	cladeA_31442.p1
ORTHOMCL11	cladeB_29846.p1	cladeB_19381.p1
ORTHOMCL11	cladeB_29298.p1	cladeB_29741.p1
ORTHOMCL11	cladeB_29298.p1	cladeB_31097.p1
ORTHOMCL11	cladeB_29298.p1	cladeB_31198.p1
ORTHOMCL11	cladeB_31218.p1	cladeB_29344.p1
ORTHOMCL11	cladeB_31218.p1	cladeB_3399.p1
ORTHOMCL11	cladeB_31218.p1	cladeB_31066.p1
ORTHOMCL11	cladeA_18512.p1	cladeA_18513.p1
ORTHOMCL11	cladeA_34473.p1	cladeA_40460.p1
ORTHOMCL11	cladeB_31058.p1	cladeB_31170.p1
ORTHOMCL11	cladeB_31058.p1	cladeB_32732.p1
ORTHOMCL1205	cladeA_39792.p1	cladeA_43236.p1
ORTHOMCL1219	cladeA_15366.p2	cladeA_15367.p2
ORTHOMCL121	cladeB_38537.p1	cladeB_21265.p1
ORTHOMCL121	cladeA_14863.p1	cladeA_54590.p1
ORTHOMCL121	cladeA_25677.p1	cladeA_27713.p2
ORTHOMCL121	cladeA_25677.p1	cladeA_28353.p1
ORTHOMCL1233	cladeA_26891.p1	cladeA_26890.p1
ORTHOMCL1239	cladeA_41809.p1	cladeA_36752.p1
ORTHOMCL124	cladeA_29387.p1	cladeA_29384.p1
ORTHOMCL124	cladeA_29387.p1	cladeA_29381.p1
ORTHOMCL124	cladeA_29387.p1	cladeA_29386.p1
ORTHOMCL124	cladeA_29387.p1	cladeA_29383.p1
ORTHOMCL124	cladeA_29387.p1	cladeA_29385.p1
ORTHOMCL1251	cladeA_55870.p1	cladeA_40556.p1
ORTHOMCL1254	cladeA_26302.p1	cladeA_26303.p1
ORTHOMCL1257	cladeA_51633.p1	cladeA_32087.p1
ORTHOMCL1262	cladeA_45052.p1	cladeA_4779.p1
ORTHOMCL126	cladeA_47556.p1	cladeA_42006.p1
ORTHOMCL126	cladeA_47556.p1	cladeA_39466.p1
ORTHOMCL126	cladeA_10901.p1	cladeA_38223.p1
ORTHOMCL126	cladeB_19374.p1	cladeB_33404.p1
ORTHOMCL126	cladeB_19374.p1	cladeB_28144.p1
ORTHOMCL126	cladeB_19374.p1	cladeB_17586.p1
ORTHOMCL1279	cladeA_25190.p1	cladeA_25189.p1
ORTHOMCL1289	cladeA_8177.p1	cladeA_18897.p1
ORTHOMCL128	cladeA_25636.p1	cladeA_45640.p1
ORTHOMCL128	cladeA_25636.p1	cladeA_25635.p1
ORTHOMCL128	cladeA_792.p1	cladeA_48974.p1
ORTHOMCL1296	cladeA_24372.p2	cladeA_24371.p1
ORTHOMCL129	cladeA_28506.p1	cladeA_28514.p1
ORTHOMCL129	cladeA_28506.p1	cladeA_28513.p1
ORTHOMCL129	cladeA_28506.p1	cladeA_28508.p1
ORTHOMCL129	cladeA_28509.p1	cladeA_28510.p1
ORTHOMCL129	cladeA_28509.p1	cladeA_28507.p1
ORTHOMCL129	cladeA_28512.p1	cladeA_28511.p1
ORTHOMCL12	cladeA_30305.p1	cladeA_30304.p1
ORTHOMCL12	cladeA_30305.p1	cladeA_30307.p1
ORTHOMCL12	cladeA_30305.p1	cladeA_30303.p1
ORTHOMCL12	cladeA_10396.p1	cladeA_27453.p1
ORTHOMCL12	cladeC_15145.p1	cladeC_25780.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27448.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27455.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27454.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27457.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27447.p1
ORTHOMCL12	cladeA_27449.p1	cladeA_27445.p1
ORTHOMCL12	cladeC_24304.p1	cladeC_18567.p1
ORTHOMCL12	cladeC_24304.p1	cladeC_21001.p1
ORTHOMCL12	cladeD_6011.p1	cladeD_10448.p1
ORTHOMCL12	cladeA_27629.p1	cladeA_27630.p1
ORTHOMCL12	cladeD_22232.p1	cladeD_17124.p1
ORTHOMCL131	cladeA_30546.p1	cladeA_30540.p1
ORTHOMCL131	cladeA_30546.p1	cladeA_30544.p1
ORTHOMCL131	cladeA_30546.p1	cladeA_26725.p1
ORTHOMCL131	cladeA_26791.p1	cladeA_26793.p1
ORTHOMCL131	cladeA_26791.p1	cladeA_26794.p1
ORTHOMCL1322	cladeA_8577.p1	cladeA_30563.p1
ORTHOMCL1325	cladeB_31573.p1	cladeB_14170.p1
ORTHOMCL132	cladeB_28834.p1	cladeB_44254.p1
ORTHOMCL132	cladeA_56862.p1	cladeA_48543.p1
ORTHOMCL132	cladeA_56862.p1	cladeA_34862.p1
ORTHOMCL132	cladeA_56862.p1	cladeA_58238.p1
ORTHOMCL132	cladeA_56862.p1	cladeA_45073.p1
ORTHOMCL132	cladeA_56862.p1	cladeA_32737.p1
ORTHOMCL1338	cladeB_24685.p1	cladeB_38955.p1
ORTHOMCL1350	cladeB_37210.p1	cladeB_4931.p1
ORTHOMCL1358	cladeA_29179.p1	cladeA_29178.p1
ORTHOMCL136	cladeA_30833.p1	cladeA_30834.p1
ORTHOMCL136	cladeD_17564.p1	cladeD_17671.p1
ORTHOMCL137	cladeA_1492.p1	cladeA_33752.p1
ORTHOMCL137	cladeA_3841.p1	cladeA_6121.p1
ORTHOMCL137	cladeB_24498.p1	cladeB_30663.p1
ORTHOMCL1381	cladeA_53295.p1	cladeA_50231.p1
ORTHOMCL138	cladeA_19188.p1	cladeA_2695.p1
ORTHOMCL138	cladeA_24800.p1	cladeA_24801.p1
ORTHOMCL138	cladeA_24800.p1	cladeA_24802.p1
ORTHOMCL138	cladeA_34137.p1	cladeA_56440.p1
ORTHOMCL138	cladeA_34137.p1	cladeA_39448.p1
ORTHOMCL1392	cladeA_36126.p1	cladeA_53902.p1
ORTHOMCL13	cladeA_32420.p1	cladeA_34474.p1
ORTHOMCL13	cladeA_25767.p1	cladeA_25765.p1
ORTHOMCL13	cladeA_25767.p1	cladeA_25768.p1
ORTHOMCL13	cladeA_25767.p1	cladeA_25766.p1
ORTHOMCL13	cladeA_25767.p1	cladeA_31607.p1
ORTHOMCL13	cladeA_9610.p1	cladeA_54447.p1
ORTHOMCL1419	cladeA_13056.p2	cladeA_13054.p2
ORTHOMCL141	cladeB_9437.p2	cladeB_45541.p1
ORTHOMCL141	cladeB_9437.p2	cladeB_37592.p1
ORTHOMCL141	cladeC_5242.p1	cladeC_10781.p2
ORTHOMCL1428	cladeA_29834.p1	cladeA_29836.p1
ORTHOMCL142	cladeD_5644.p1	cladeD_17418.p1
ORTHOMCL142	cladeD_5644.p1	cladeD_17249.p1
ORTHOMCL142	cladeA_25398.p1	cladeA_44336.p1
ORTHOMCL1432	cladeA_27808.p1	cladeA_27806.p1
ORTHOMCL143	cladeC_10176.p1	cladeC_12823.p2
ORTHOMCL143	cladeC_10176.p1	cladeC_8892.p3
ORTHOMCL143	cladeC_10176.p1	cladeC_14187.p2
ORTHOMCL1446	cladeA_25770.p1	cladeA_25769.p1
ORTHOMCL144	cladeA_54121.p1	cladeA_54024.p1
ORTHOMCL144	cladeA_54121.p1	cladeA_39532.p1
ORTHOMCL144	cladeA_54121.p1	cladeA_27769.p1
ORTHOMCL144	cladeB_32391.p1	cladeB_20999.p1
ORTHOMCL1454	cladeA_12200.p1	cladeA_12201.p1
ORTHOMCL1462	cladeA_4841.p1	cladeA_4840.p1
ORTHOMCL1467	cladeA_49413.p1	cladeA_41470.p1
ORTHOMCL147	cladeA_29012.p1	cladeA_29010.p2
ORTHOMCL147	cladeA_29012.p1	cladeA_29007.p2
ORTHOMCL147	cladeA_29013.p1	cladeA_29008.p1
ORTHOMCL1484	cladeA_23250.p1	cladeA_23251.p2
ORTHOMCL148	cladeB_31050.p1	cladeB_30768.p1
ORTHOMCL148	cladeA_28394.p1	cladeA_28393.p1
